prince                                            [1, 2064, 4155]               
of                                                [1, 35, 68, 78, 80, 84, 98, 100, 104, 122, 126, 147, 153, 171, 175, 189, 193, 211, 215, 223, 232, 236, 246, 258, 263, 269, 275, 279, 292, 356, 360, 368, 385, 391, 393, 409, 432, 446, 452, 505, 560, 571, 585, 595, 629, 758, 762, 766, 774, 783, 785, 785, 797, 807, 820, 834, 838, 840, 843, 855, 863, 883, 895, 899, 903, 912, 914, 940, 970, 978, 984, 988, 1005, 1007, 1034, 1036, 1040, 1082, 1117, 1123, 1160, 1165, 1181, 1197, 1212, 1214, 1227, 1231, 1235, 1243, 1253, 1255, 1259, 1263, 1269, 1269, 1269, 1271, 1283, 1316, 1322, 1363, 1436, 1450, 1466, 1474, 1497, 1505, 1515, 1519, 1521, 1529, 1529, 1541, 1543, 1549, 1551, 1551, 1551, 1559, 1559, 1563, 1563, 1565, 1573, 1575, 1575, 1585, 1587, 1589, 1589, 1595, 1599, 1601, 1605, 1613, 1621, 1621, 1625, 1625, 1625, 1625, 1649, 1649, 1651, 1651, 1657, 1663, 1665, 1667, 1671, 1675, 1689, 1703, 1715, 1721, 1723, 1727, 1729, 1733, 1733, 1733, 1737, 1737, 1741, 1745, 1747, 1751, 1757, 1765, 1773, 1773, 1773, 1777, 1779, 1783, 1799, 1823, 1827, 1831, 1852, 1854, 1886, 1890, 1892, 1904, 1919, 1936, 1944, 1946, 1950, 1952, 1963, 1987, 1989, 2040, 2042, 2064, 2073, 2156, 2178, 2178, 2182, 2187, 2187, 2187, 2210, 2218, 2222, 2222, 2222, 2227, 2237, 2237, 2237, 2237, 2237, 2237, 2237, 2245, 2247, 2253, 2255, 2269, 2273, 2289, 2291, 2313, 2317, 2317, 2321, 2321, 2346, 2388, 2397, 2397, 2409, 2411, 2417, 2431, 2460, 2466, 2501, 2515, 2525, 2537, 2545, 2549, 2553, 2553, 2553, 2553, 2557, 2557, 2565, 2567, 2569, 2569, 2573, 2577, 2577, 2579, 2583, 2585, 2587, 2587, 2591, 2599, 2607, 2607, 2611, 2611, 2613, 2613, 2615, 2619, 2621, 2621, 2621, 2623, 2627, 2627, 2629, 2633, 2637, 2637, 2639, 2641, 2645, 2645, 2645, 2655, 2657, 2657, 2657, 2659, 2659, 2659, 2659, 2661, 2661, 2661, 2661, 2663, 2663, 2663, 2663, 2667, 2671, 2671, 2671, 2673, 2673, 2677, 2677, 2681, 2685, 2695, 2695, 2695, 2701, 2701, 2705, 2725, 2739, 2747, 2749, 2751, 2789, 2793, 2808, 2825, 2851, 2853, 2867, 2873, 2875, 2879, 2881, 2883, 2892, 2900, 2902, 2904, 2906, 2908, 2912, 2925, 2938, 2961, 2961, 2965, 2969, 2969, 2969, 2977, 2981, 2987, 2990, 2990, 2992, 2994, 2996, 3000, 3020, 3030, 3034, 3046, 3061, 3061, 3061, 3061, 3065, 3065, 3065, 3065, 3065, 3065, 3065, 3065, 3071, 3071, 3071, 3097, 3101, 3103, 3121, 3123, 3127, 3129, 3133, 3150, 3158, 3170, 3194, 3200, 3216, 3236, 3316, 3316, 3316, 3334, 3344, 3367, 3383, 3397, 3401, 3401, 3411, 3423, 3423, 3427, 3437, 3451, 3455, 3457, 3457, 3457, 3465, 3477, 3489, 3501, 3549, 3615, 3659, 3663, 3669, 3682, 3686, 3692, 3696, 3706, 3710, 3722, 3761, 3772, 3772, 3774, 3786, 3802, 3831, 3869, 3885, 3903, 3917, 3935, 3955, 3955, 3955, 3957, 3957, 3964, 3964, 3966, 3966, 3966, 3970, 3972, 3978, 3978, 3980, 3980, 3982, 3982, 3987, 3989, 3995, 3995, 4001, 4001, 4007, 4007, 4007, 4007, 4011, 4011, 4017, 4019, 4021, 4023, 4035, 4035, 4035, 4037, 4037, 4039, 4039, 4041, 4043, 4043, 4043, 4047, 4047, 4047, 4051, 4055, 4055, 4063, 4065, 4067, 4067, 4069, 4069, 4075, 4075, 4077, 4081, 4081, 4081, 4083, 4087, 4087, 4089, 4091, 4091, 4091, 4091, 4093, 4093, 4097, 4101, 4101, 4113, 4117, 4117, 4121, 4121, 4121, 4123, 4127, 4137, 4139, 4143, 4143, 4149, 4153, 4153, 4153, 4155, 4155, 4157, 4159, 4161, 4161, 4165, 4165, 4169, 4171, 4171, 4181, 4183, 4183, 4189, 4193, 4199, 4199, 4201, 4201, 4207, 4215, 4229, 4231, 4231, 4231, 4241, 4241, 4241, 4241, 4247, 4249, 4251, 4261, 4271, 4347, 4380, 4435, 4459, 4513, 4540, 4548, 4596, 4602, 4614, 4652, 4667, 4695, 4723, 4742, 4776, 4815, 4827, 4835, 4838, 4842, 4866, 4875, 4891, 4921, 4942, 4948, 4966, 4968, 4970, 4970, 4970, 4976, 4984, 4988, 4994, 4998, 4998, 5002, 5002, 5004, 5004, 5004, 5004, 5004, 5006, 5006, 5008, 5012, 5018, 5018, 5026, 5028, 5030, 5038, 5038, 5038, 5050, 5052, 5052, 5054, 5064, 5084, 5090, 5116, 5132, 5134, 5136, 5149, 5164, 5170, 5170, 5170, 5176, 5180, 5202, 5234, 5242, 5249, 5249, 5249, 5263, 5267, 5267, 5285, 5291, 5293, 5300, 5317, 5324, 5360, 5368, 5372, 5376, 5412, 5428, 5430, 5478, 5491, 5493, 5510, 5526, 5526, 5526, 5526, 5526, 5528, 5530, 5532, 5534, 5544, 5546, 5546, 5558, 5560, 5576, 5580, 5587, 5658, 5762, 5841]
denmark                                           [1, 126, 299, 335, 407, 413, 1212, 1283, 1374, 1517, 1615, 1773, 1773, 2253, 2317, 2645, 3427, 4155, 4157, 4459, 5226, 5500]
act                                               [2, 585, 828, 1287, 1505, 1507, 1651, 1791, 2549, 2551, 2719, 2969, 3131, 3680, 3698, 3701, 3935, 3937, 4087, 4095, 4153, 4207, 4277, 4948, 4950, 5068, 5080, 5080, 5080, 5845]
i                                                 [2, 3, 24, 37, 37, 74, 82, 128, 137, 149, 168, 230, 299, 303, 315, 317, 331, 352, 366, 401, 403, 450, 466, 470, 477, 479, 493, 501, 507, 513, 515, 517, 525, 527, 529, 538, 542, 546, 546, 558, 591, 608, 625, 674, 674, 691, 696, 701, 706, 712, 723, 738, 797, 814, 873, 879, 903, 922, 922, 942, 948, 954, 956, 970, 974, 995, 1015, 1063, 1070, 1113, 1119, 1131, 1136, 1145, 1148, 1154, 1163, 1167, 1195, 1202, 1239, 1245, 1267, 1326, 1358, 1361, 1386, 1394, 1398, 1456, 1458, 1484, 1495, 1499, 1507, 1509, 1509, 1511, 1513, 1515, 1517, 1517, 1519, 1521, 1523, 1525, 1527, 1527, 1529, 1529, 1531, 1531, 1531, 1533, 1535, 1537, 1539, 1539, 1541, 1543, 1545, 1553, 1561, 1563, 1565, 1567, 1569, 1571, 1571, 1573, 1575, 1577, 1577, 1577, 1579, 1587, 1589, 1589, 1591, 1593, 1595, 1595, 1597, 1599, 1599, 1601, 1603, 1605, 1607, 1609, 1611, 1613, 1613, 1615, 1617, 1619, 1619, 1621, 1621, 1623, 1625, 1627, 1627, 1629, 1629, 1629, 1629, 1631, 1633, 1635, 1637, 1637, 1639, 1639, 1641, 1647, 1649, 1649, 1651, 1651, 1653, 1653, 1655, 1657, 1659, 1659, 1661, 1663, 1665, 1665, 1667, 1669, 1671, 1673, 1673, 1675, 1677, 1677, 1679, 1681, 1683, 1683, 1685, 1685, 1687, 1687, 1689, 1691, 1693, 1695, 1695, 1697, 1703, 1705, 1707, 1707, 1707, 1709, 1711, 1711, 1713, 1715, 1717, 1719, 1721, 1721, 1723, 1725, 1727, 1727, 1729, 1731, 1731, 1733, 1735, 1737, 1739, 1741, 1743, 1745, 1745, 1747, 1747, 1749, 1751, 1751, 1753, 1755, 1757, 1759, 1761, 1763, 1765, 1765, 1767, 1767, 1769, 1771, 1773, 1775, 1777, 1779, 1781, 1783, 1783, 1785, 1785, 1787, 1792, 1797, 1801, 1814, 1816, 1850, 1858, 1892, 1906, 1934, 1944, 1948, 1952, 1967, 1969, 1977, 1977, 1983, 1997, 2011, 2021, 2023, 2023, 2023, 2044, 2046, 2048, 2048, 2054, 2060, 2062, 2066, 2092, 2097, 2103, 2134, 2150, 2152, 2162, 2168, 2176, 2178, 2178, 2178, 2187, 2187, 2189, 2214, 2214, 2214, 2218, 2227, 2237, 2237, 2237, 2241, 2249, 2263, 2263, 2273, 2277, 2279, 2305, 2307, 2307, 2317, 2317, 2321, 2321, 2321, 2399, 2417, 2425, 2427, 2452, 2462, 2472, 2484, 2486, 2490, 2499, 2501, 2511, 2531, 2531, 2557, 2565, 2569, 2573, 2581, 2589, 2595, 2597, 2599, 2599, 2599, 2601, 2603, 2605, 2613, 2627, 2627, 2627, 2635, 2641, 2647, 2651, 2667, 2693, 2695, 2701, 2705, 2711, 2720, 2753, 2798, 2804, 2808, 2815, 2840, 2923, 2925, 2927, 2929, 2932, 2934, 2961, 2965, 2967, 2969, 2969, 2969, 2969, 2969, 2981, 2981, 2994, 3004, 3004, 3032, 3061, 3061, 3061, 3061, 3061, 3063, 3065, 3065, 3069, 3087, 3089, 3119, 3123, 3129, 3131, 3146, 3158, 3160, 3164, 3168, 3168, 3184, 3240, 3240, 3244, 3267, 3281, 3291, 3324, 3324, 3369, 3395, 3401, 3403, 3407, 3425, 3441, 3443, 3445, 3447, 3449, 3451, 3455, 3455, 3457, 3477, 3477, 3479, 3493, 3505, 3512, 3516, 3520, 3555, 3579, 3613, 3633, 3640, 3661, 3667, 3675, 3754, 3843, 3852, 3881, 3883, 3921, 3923, 3925, 3929, 3945, 3959, 3976, 3982, 3993, 3995, 4005, 4007, 4009, 4027, 4033, 4043, 4047, 4051, 4057, 4063, 4077, 4077, 4083, 4101, 4103, 4115, 4117, 4127, 4127, 4135, 4145, 4147, 4149, 4151, 4159, 4163, 4173, 4183, 4189, 4191, 4195, 4199, 4203, 4221, 4225, 4229, 4231, 4245, 4249, 4249, 4251, 4261, 4273, 4278, 4331, 4413, 4437, 4445, 4466, 4520, 4540, 4540, 4540, 4544, 4584, 4632, 4634, 4652, 4695, 4723, 4729, 4750, 4768, 4776, 4776, 4776, 4793, 4797, 4871, 4875, 4887, 4932, 4942, 4958, 4960, 4964, 4972, 4988, 4988, 4990, 5000, 5004, 5006, 5010, 5016, 5016, 5018, 5022, 5024, 5030, 5032, 5040, 5042, 5044, 5048, 5064, 5069, 5074, 5080, 5104, 5110, 5114, 5124, 5145, 5170, 5180, 5182, 5202, 5226, 5240, 5249, 5249, 5249, 5332, 5347, 5349, 5362, 5381, 5391, 5393, 5395, 5404, 5410, 5426, 5454, 5462, 5487, 5489, 5491, 5502, 5508, 5510, 5512, 5520, 5522, 5536, 5536, 5538, 5546, 5556, 5558, 5560, 5560, 5560, 5562, 5566, 5572, 5572, 5572, 5578, 5595, 5603, 5608, 5614, 5619, 5648, 5648, 5733, 5746, 5746, 5760, 5762, 5785, 5794, 5814, 5818, 5841, 5847, 5849, 5860, 5886]
scene                                             [3, 258, 746, 960, 1123, 1792, 1875, 2289, 2515, 2720, 3127, 3509, 3562, 4091, 4278, 5069, 5484, 5586]
elsinore                                          [3, 509, 2210, 2259, 2411]    
platform                                          [3, 603, 725, 960, 1123]      
before                                            [3, 149, 164, 577, 1454, 1525, 1809, 2050, 2527, 2653, 2755, 3125, 4368, 5230]
night                                             [3, 31, 47, 56, 72, 84, 100, 122, 250, 571, 591, 633, 701, 718, 738, 867, 960, 982, 1036, 1123, 1156, 1421, 1444, 1521, 1529, 1591, 1649, 1649, 1649, 1711, 1959, 1959, 1961, 2328, 2411, 2417, 2755, 3125, 3277, 3489, 3907, 3913, 3925, 4540, 4540, 4540, 4540, 5630]
his                                               [4, 104, 234, 236, 242, 315, 376, 427, 542, 583, 651, 654, 669, 694, 696, 758, 772, 778, 809, 824, 828, 914, 920, 938, 976, 982, 984, 988, 1027, 1084, 1187, 1220, 1227, 1229, 1300, 1488, 1563, 1577, 1577, 1589, 1589, 1589, 1589, 1599, 1599, 1619, 1619, 1657, 1663, 1673, 1673, 1691, 1713, 1731, 1733, 1757, 1761, 1765, 1767, 1773, 1783, 1783, 1803, 1805, 1805, 1823, 1825, 1825, 1833, 1837, 1839, 1841, 1841, 1844, 1844, 1858, 1860, 1888, 2029, 2038, 2069, 2101, 2123, 2187, 2245, 2245, 2245, 2253, 2269, 2287, 2328, 2338, 2340, 2346, 2395, 2401, 2433, 2433, 2435, 2437, 2439, 2442, 2527, 2553, 2553, 2553, 2555, 2583, 2593, 2597, 2597, 2597, 2599, 2613, 2615, 2617, 2623, 2627, 2639, 2639, 2655, 2665, 2669, 2673, 2681, 2693, 2695, 2695, 2695, 2695, 2695, 2695, 2711, 2739, 2770, 2793, 2810, 2885, 2961, 2996, 3010, 3014, 3016, 3026, 3028, 3034, 3040, 3042, 3135, 3146, 3150, 3194, 3316, 3344, 3344, 3385, 3391, 3514, 3537, 3567, 3648, 3720, 3728, 3778, 3790, 3837, 3863, 3867, 3941, 3953, 3970, 3978, 3978, 3999, 3999, 4009, 4011, 4017, 4017, 4055, 4075, 4079, 4091, 4091, 4143, 4143, 4143, 4157, 4157, 4213, 4237, 4253, 4289, 4293, 4322, 4470, 4472, 4484, 4486, 4497, 4528, 4614, 4628, 4679, 4687, 4709, 4713, 4715, 4721, 4742, 4742, 4744, 4797, 4827, 4829, 4917, 4956, 4956, 4970, 5018, 5026, 5084, 5084, 5116, 5132, 5139, 5141, 5170, 5170, 5170, 5170, 5170, 5170, 5210, 5222, 5234, 5234, 5249, 5432, 5447, 5458, 5493, 5508, 5510, 5520, 5524, 5538, 5540, 5544, 5560, 5593, 5828, 5849, 5892, 5892]
